pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,1-0,0-0,,173000,1.0,173000.0,6,,13,Ad,Ruining Huang,Near,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,1.0,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,Gianluca Ballotta,1,,,
0-15,1-0,0-0,1.0,191580,,,7,,1,Ad,Ruining Huang,Near,1.0,T,15.819510061234173,193.31624562544695,,,,,,-43.80860127,-446.4867399,,,1.0,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,1st Serve In,T,
0-15,1-0,0-0,,192580,,,7,,2,Ad,Ruining Huang,Near,,,,,,,,,,56.18116251090711,477.6075349953788,Crosscourt,Backhand,,,,,,,,,,-95.42973535,-358.1069937,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Deep
0-15,1-0,0-0,,195720,1.0,195720.0,7,,3,Ad,Ruining Huang,Near,,,,,,,,,,-121.8567257,-497.532196,Down the Line,Forehand,,,,,,,,,,-128.7913112,336.76809383184707,1.0,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,Ruining Huang,,,,Short
15-15,1-0,0-0,1.0,213520,,,8,,1,Deuce,Ruining Huang,Near,0.0,Wide,-156.8834044,352.31461614155035,1.0,Wide,-107.3516678,171.6070209972867,,43.659093394553125,-444.6030402,,,1.0,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,2nd Serve In,Wide,
15-15,1-0,0-0,,225720,,,8,,2,Deuce,Ruining Huang,Near,,,,,,,,,,-139.5745188,455.4789534118381,Crosscourt,Forehand,,,,,,,,,,84.36971237965896,-336.7011866,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Short
15-15,1-0,0-0,,227149,1.0,227149.0,8,,3,Deuce,Ruining Huang,Near,,,,,,,,,,104.73696412942972,-476.3007382,Crosscourt,Backhand,,,,,,,,,,-201.9302876,360.3767880575566,,,1.0,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,Gianluca Ballotta,1,,,
15-30,1-0,0-0,1.0,256679,,,9,,1,Ad,Ruining Huang,Near,0.0,Body,84.06759623792682,271.18711176713896,1.0,T,21.566147200338815,171.57992125975392,,-50.79853456,-435.9310094,,,,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,2nd Serve In,T,
15-30,1-0,0-0,,266420,,,9,,2,Ad,Ruining Huang,Near,,,,,,,,,,54.013183508283554,458.4693022744787,Down the Line,Forehand,,,,,,,,,,69.40548994,-358.8947999,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
15-30,1-0,0-0,,267649,,,9,,3,Deuce,Ruining Huang,Near,,,,,,,,,,54.72340332455616,-490.056343,Crosscourt,Backhand,,,,,,,,,,-15.00146544,394.0738571738996,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Deep
